game_id,season,week,home_team,away_team,provider,spread_home,over_under,openingSpread,formattedSpread
401114205,2019,11,Oregon State,Washington,numberfire,10.0,65.0,,Washington -10
401114205,2019,11,Oregon State,Washington,consensus,10.5,64.0,,Washington -10.5
401114205,2019,11,Oregon State,Washington,Caesars,10.5,64.5,,Washington -10.5
401112209,2019,11,Ohio State,Maryland,Bovada,-43.5,66.0,,Ohio State -43.5
401112209,2019,11,Ohio State,Maryland,teamrankings,-42.5,66.0,,Ohio State -42.5
401112209,2019,11,Ohio State,Maryland,numberfire,-42.5,66.0,,Ohio State -42.5
401112209,2019,11,Ohio State,Maryland,consensus,-42.5,66.0,,Ohio State -42.5
401112209,2019,11,Ohio State,Maryland,Caesars,-43.0,66.0,,Ohio State -43
401117899,2019,11,South Florida,Temple,Bovada,0.0,50.0,,Temple -0.0
401117899,2019,11,South Florida,Temple,teamrankings,1.0,50.0,,Temple -1
401117899,2019,11,South Florida,Temple,numberfire,1.0,50.0,,Temple -1
401117899,2019,11,South Florida,Temple,consensus,-1.0,49.5,,South Florida -1
401117899,2019,11,South Florida,Temple,Caesars,-1.0,49.5,,South Florida -1
401119297,2019,11,Toledo,Kent State,Bovada,-4.5,63.0,,Toledo -4.5
401119297,2019,11,Toledo,Kent State,teamrankings,-5.5,62.5,,Toledo -5.5
401119297,2019,11,Toledo,Kent State,numberfire,-5.5,63.0,,Toledo -5.5
401119297,2019,11,Toledo,Kent State,consensus,-4.0,63.5,,Toledo -4
401119297,2019,11,Toledo,Kent State,Caesars,-4.0,63.5,,Toledo -4
401112504,2019,11,Virginia,Georgia Tech,Bovada,-15.5,46.5,,Virginia -15.5
401112504,2019,11,Virginia,Georgia Tech,teamrankings,-16.0,45.5,,Virginia -16
401112504,2019,11,Virginia,Georgia Tech,numberfire,-16.0,45.5,,Virginia -16
401112504,2019,11,Virginia,Georgia Tech,consensus,-16.0,45.5,,Virginia -16
401112504,2019,11,Virginia,Georgia Tech,Caesars,-16.0,46.5,,Virginia -16
401112111,2019,11,Texas,Kansas State,Bovada,-7.0,58.0,,Texas -7.0
401112111,2019,11,Texas,Kansas State,teamrankings,-7.5,57.5,,Texas -7.5
